properties{
  x = 4480,
  y = 3360,
  width = 1280,
  height = 960,
  world = "outside",
  num_layers = 3,
  tileset = "light_world",
  music = "overworld",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 1280,
  height = 960,
  pattern = "grass.soil",
}

tile{
  layer = 0,
  x = 1256,
  y = 936,
  width = 24,
  height = 24,
  pattern = "sand.soil",
}

tile{
  layer = 0,
  x = 936,
  y = 432,
  width = 24,
  height = 24,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 856,
  y = 408,
  width = 136,
  height = 24,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 960,
  y = 424,
  width = 64,
  height = 104,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 1216,
  y = 512,
  width = 16,
  height = 200,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 960,
  y = 768,
  width = 240,
  height = 48,
  pattern = "dirt.soil",
}

tile{
  layer = 0,
  x = 960,
  y = 768,
  width = 16,
  height = 16,
  pattern = "cliff.top.border.diag.1",
}

tile{
  layer = 0,
  x = 456,
  y = 904,
  width = 288,
  height = 8,
  pattern = "cliff.2",
}

tile{
  layer = 0,
  x = 464,
  y = 776,
  width = 272,
  height = 8,
  pattern = "cliff.top.1",
}

tile{
  layer = 0,
  x = 464,
  y = 784,
  width = 272,
  height = 16,
  pattern = "cliff.1",
}

tile{
  layer = 0,
  x = 464,
  y = 800,
  width = 272,
  height = 16,
  pattern = "dirt.cliff.1",
}

tile{
  layer = 0,
  x = 440,
  y = 584,
  width = 256,
  height = 8,
  pattern = "cliff.2",
}

tile{
  layer = 0,
  x = 96,
  y = 576,
  width = 176,
  height = 48,
  pattern = "water",
}

tile{
  layer = 0,
  x = 256,
  y = 528,
  width = 16,
  height = 16,
  pattern = "cliff.top.border.diag.2",
}

tile{
  layer = 0,
  x = 272,
  y = 544,
  width = 16,
  height = 16,
  pattern = "cliff.top.border.diag.2",
}

tile{
  layer = 0,
  x = 288,
  y = 560,
  width = 16,
  height = 16,
  pattern = "cliff.top.border.diag.2",
}

tile{
  layer = 0,
  x = 96,
  y = 528,
  width = 16,
  height = 16,
  pattern = "cliff.top.border.diag.1",
}

tile{
  layer = 0,
  x = 80,
  y = 544,
  width = 16,
  height = 16,
  pattern = "cliff.top.border.diag.1",
}

tile{
  layer = 0,
  x = 64,
  y = 560,
  width = 16,
  height = 16,
  pattern = "cliff.top.border.diag.1",
}

tile{
  layer = 0,
  x = -8,
  y = 936,
  width = 1264,
  height = 8,
  pattern = "cliff.2",
}

tile{
  layer = 0,
  x = 408,
  y = 88,
  width = 144,
  height = 8,
  pattern = "cliff.2",
}

tile{
  layer = 0,
  x = 920,
  y = 88,
  width = 176,
  height = 8,
  pattern = "cliff.2",
}

tile{
  layer = 0,
  x = 1016,
  y = 344,
  width = 208,
  height = 8,
  pattern = "cliff.2",
}

tile{
  layer = 0,
  x = 1120,
  y = 256,
  width = 32,
  height = 32,
  pattern = "dirt.soil",
}

tile{
  layer = 0,
  x = 0,
  y = 528,
  width = 32,
  height = 384,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 32,
  y = 632,
  width = 24,
  height = 96,
  pattern = "forest",
}

tile{
  layer = 0,
  x = 56,
  y = 656,
