properties{
  x = 0,
  y = 0,
  width = 640,
  height = 240,
  min_layer = 0,
  max_layer = 2,
  tileset = "dungeon/light_brown",
  music = "bar",
}

tile{
  layer = 0,
  x = 64,
  y = 64,
  width = 512,
  height = 144,
  pattern = "floor_low.1-1",
}

tile{
  layer = 0,
  x = 56,
  y = 56,
  width = 8,
  height = 160,
  pattern = "wall_border.3-1",
}

tile{
  layer = 0,
  x = 56,
  y = 56,
  width = 528,
  height = 8,
  pattern = "wall_border.1-1",
}

tile{
  layer = 0,
  x = 32,
  y = 32,
  width = 24,
  height = 24,
  pattern = "wall.corner.1-1",
}

tile{
  layer = 0,
  x = 56,
  y = 32,
  width = 528,
  height = 24,
  pattern = "wall.1-1",
}

tile{
  layer = 0,
  x = 584,
  y = 32,
  width = 24,
  height = 24,
  pattern = "wall.corner.2-1",
}

tile{
  layer = 0,
  x = 32,
  y = 56,
  width = 24,
  height = 160,
  pattern = "wall.3-1",
}

tile{
  layer = 0,
  x = 32,
  y = 216,
  width = 24,
  height = 24,
  pattern = "wall.corner.3-1",
}

tile{
  layer = 0,
  x = 584,
  y = 216,
  width = 24,
  height = 24,
  pattern = "wall.corner.4-1",
}

tile{
  layer = 0,
  x = 56,
  y = 216,
  width = 528,
  height = 24,
  pattern = "wall.2-1",
}

tile{
  layer = 0,
  x = 584,
  y = 56,
  width = 24,
  height = 160,
  pattern = "wall.4-1",
}

tile{
  layer = 0,
  x = 56,
  y = 56,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.1-1",
}

tile{
  layer = 0,
  x = 56,
  y = 208,
  width = 528,
  height = 8,
  pattern = "wall_border.2-1",
}

tile{
  layer = 0,
  x = 576,
  y = 56,
  width = 8,
  height = 160,
  pattern = "wall_border.4-1",
}

tile{
  layer = 0,
  x = 56,
  y = 208,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.3-1",
}

tile{
  layer = 0,
  x = 576,
  y = 208,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.4-1",
}

tile{
  layer = 0,
  x = 576,
  y = 56,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.2-1",
}

tile{
  layer = 0,
  x = 152,
  y = 216,
  width = 16,
  height = 16,
  pattern = "door.2",
}

tile{
  layer = 0,
  x = 144,
  y = 216,
  width = 8,
  height = 16,
  pattern = "door.2.support.1-1",
}

tile{
  layer = 0,
  x = 168,
  y = 216,
  width = 8,
  height = 16,
  pattern = "door.2.support.2-1",
}

tile{
  layer = 0,
  x = 152,
  y = 232,
  width = 16,
  height = 16,
  pattern = "floor_low.1-1",
}

tile{
  layer = 0,
  x = 152,
  y = 240,
  width = 16,
  height = 8,
  pattern = "barrier.1-1",
}

tile{
  layer = 0,
  x = 472,
  y = 216,
  width = 16,
  height = 16,
  pattern = "door.2",
}

tile{
  layer = 0,
  x = 464,
  y = 216,
  width = 8,
  height = 16,
  pattern = "door.2.support.1-1",
}

tile{
  layer = 0,
  x = 488,
  y = 216,
  width = 8,
  height = 16,
  pattern = "door.2.support.2-1",
}

tile{
  layer = 0,
  x = 472,
  y = 232,
  width = 16,
  height = 16,
  pattern = "floor_low.1-1",
}

tile{
  layer = 0,
  x = 472,
  y = 240,
  width = 16,
  height = 8,
  pattern = "barrier.1-1",
}

tile{
  layer = 0,
  x = 584,
  y = 88,
  width = 24,
  height = 32,
  pattern = "window.4-2",
}

tile{
  layer = 0,
  x = 32,
  y = 88,
  width = 24,
  height = 32,
  pattern = "window.3-2",
}

tile{
  layer = 0,
  x = 80,
  y = 32,
  width = 32,
  height = 32,
  pattern = "cook.pot",
}

tile{
  layer = 0,
  x = 128,
  y = 32,
  width = 16,
  height = 32,
  pattern = "wine_rack.1",
}

tile{
  layer = 0,
  x = 144,
  y = 32,
  width = 16,
  height = 32,
  pattern = "wine_rack.2",
}

tile{
  layer = 0,
  x = 160,
  y = 32,
  width = 16,
  height = 32,
  pattern = "wine_rack.3",
}

tile{
  layer = 0,
  x = 368,
  y = 32,
  width = 16,
  height = 32,
  pattern = "wine_rack.1",
}

tile{
  layer = 0,
  x = 384,
  y = 32,
  width = 16,
  height = 32,
  pattern = "wine_rack.2",
}

tile{
  layer = 0,
  x = 400,
  y = 32,
  width = 16,
  height = 32,
  pattern = "wine_rack.3",
}

tile{
  layer = 0,
  x = 432,
  y = 32,
  width = 16,
  height = 32,
  pattern = "wine_rack.1",
}

tile{
  layer = 0,
  x = 448,
  y = 32,
  width = 16,
  height = 32,
  pattern = "wine_rack.2",
}

tile{
  layer = 0,
  x = 464,
  y = 32,
  width = 16,
  height = 32,
  pattern = "wine_rack.3",
}

tile{
  layer = 0,
  x = 96,
  y = 176,
  width = 16,
  height = 16,
  pattern = "seat.1",
}

tile{
  layer = 0,
  x = 128,
  y = 128,
  width = 16,
  height = 16,
  pattern = "seat.1",
}

tile{
  layer = 0,
  x = 208,
  y = 128,
  width = 16,
  height = 16,
  pattern = "seat.1",
}

tile{
  layer = 0,
  x = 288,
  y = 80,
  width = 16,
  height = 16,
  pattern = "seat.1",
}

tile{
  layer = 0,
  x = 384,
  y = 144,
  width = 16,
  height = 16,
  pattern = "seat.1",
}

tile{
  layer = 0,
  x = 528,
  y = 144,
  width = 16,
  height = 16,
  pattern = "seat.1",
}

tile{
  layer = 0,
  x = 544,
  y = 80,
  width = 16,
  height = 16,
  pattern = "seat.1",
}

tile{
  layer = 0,
  x = 232,
  y = 144,
  width = 8,
  height = 8,
  pattern = "table.3",
}

tile{
  layer = 0,
  x = 216,
  y = 144,
  width = 16,
  height = 8,
  pattern = "table.2",
}

tile{
  layer = 0,
  x = 208,
  y = 160,
  width = 8,
  height = 8,
  pattern = "table.7",
}

tile{
  layer = 0,
  x = 232,
  y = 152,
  width = 8,
  height = 8,
  pattern = "table.6",
}

tile{
  layer = 0,
  x = 208,
  y = 144,
  width = 8,
  height = 8,
  pattern = "table.1",
}

tile{
  layer = 0,
  x = 216,
  y = 152,
  width = 16,
  height = 8,
  pattern = "table.5",
}

tile{
  layer = 0,
  x = 232,
  y = 160,
  width = 8,
  height = 8,
  pattern = "table.9",
}

tile{
  layer = 0,
  x = 216,
  y = 160,
