animation{
  name = "-1",
  src_image = "menus/dungeon_maps/map_6.png",
  directions = {
    { x = 16, y = 176, frame_width = 112, frame_height = 112, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 32, y = 32, frame_width = 32, frame_height = 32, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 80, y = 32, frame_width = 32, frame_height = 32, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 32, y = 96, frame_width = 32, frame_height = 32, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 80, y = 96, frame_width = 32, frame_height = 32, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 0, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
  },
}
animation{
  name = "0",
  src_image = "menus/dungeon_maps/map_6.png",
  directions = {
    { x = 176, y = 192, frame_width = 112, frame_height = 96, origin_x = 0, origin_y = 0 },
    { x = 176, y = 32, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 192, y = 32, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 160, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 224, y = 32, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 160, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 256, y = 32, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 272, y = 32, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 176, y = 48, frame_width = 32, frame_height = 32, origin_x = 0, origin_y = 0 },
    { x = 160, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 208, y = 48, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 224, y = 48, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 240, y = 48, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 256, y = 48, frame_width = 32, frame_height = 32, origin_x = 0, origin_y = 0 },
    { x = 160, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 160, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 160, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 208, y = 64, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 224, y = 64, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 240, y = 64, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 160, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 160, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 176, y = 80, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 192, y = 80, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 208, y = 80, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 224, y = 80, frame_width = 16, frame_height = 32, origin_x = 0, origin_y = 0 },
    { x = 240, y = 80, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 256, y = 80, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 272, y = 80, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 160, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 192, y = 96, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 208, y = 96, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 160, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 240, y = 96, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 256, y = 96, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 160, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 160, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 192, y = 112, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 208, y = 112, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 224, y = 112, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 240, y = 112, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 256, y = 112, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 160, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
  },
}
animation{
  name = "1",
  src_image = "menus/dungeon_maps/map_6.png",
  directions = {
    { x = 336, y = 192, frame_width = 112, frame_height = 96, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 384, y = 48, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 384, y = 64, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 384, y = 80, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
    { x = 320, y = 0, frame_width = 16, frame_height = 16, origin_x = 0, origin_y = 0 },
